"MyUnknownColumn","Mat","Inns","Balls","Runs","Wkts","BBI","Ave","Econ","SR","4","5","start","end","name","country"
723,73,26,524,504,14,"5/32",36.0,5.77,37.4,0,1,2013,2019,"Rahmat Shah","not found"
724,9,9,463,464,14,"3/49",33.14,6.01,33.0,0,0,2017,2018,"Rumman Raees","PAK"
725,9,8,538,232,14,"4/11",16.57,2.58,38.4,2,0,1971,1975,"JA Snow","ENG"
726,17,17,762,572,14,"3/14",40.85,4.5,54.4,0,0,2010,2011,"Sohrawordi Shuvo","BDESH"
727,20,20,807,615,13,"3/33",47.3,4.57,62.0,0,0,1989,1997,"SA Ankola","INDIA"
728,7,7,413,347,13,"3/55",26.69,5.04,31.7,0,0,1990,1991,"MP Bicknell","ENG"
729,8,8,470,313,13,"4/50",24.07,3.99,36.1,1,0,1973,1975,"KD Boyce","WI"
730,10,10,524,245,13,"3/22",18.84,2.8,40.3,0,0,1978,1982,"ST Clarke","WI"
731,13,12,564,518,13,"3/68",39.84,5.51,43.3,0,0,2008,2010,"PC Connell","IRE"
732,23,19,553,438,13,"3/11",33.69,4.75,42.5,0,0,2010,2013,"TLW Cooper","NL"
733,12,12,403,429,13,"3/15",33.0,6.38,31.0,0,0,2017,2019,"PWH de Silva","SL"
734,6,6,338,228,13,"5/38",17.53,4.04,26.0,1,1,2019,2019,"Hamza Tahir","SCOT"
735,13,12,572,373,13,"5/22",28.69,3.91,44.0,0,1,1994,2002,"MN Hart","NZ"
736,11,11,544,380,13,"4/21",29.23,4.19,41.8,1,0,2006,2006,"RS Higgins","ZIM"
737,27,25,1116,819,13,"4/43",63.0,4.4,85.8,1,0,1980,1988,"Ijaz Faqih","PAK"
738,13,13,544,623,13,"2/26",47.92,6.87,41.8,0,0,2017,2019,"CBRLS Kumara","SL"
739,23,15,658,374,13,"3/27",28.76,3.41,50.6,0,0,1973,1982,"Majid Khan","PAK"
740,20,20,822,634,13,"3/23",48.76,4.62,63.2,0,0,2007,2009,"AD Mascarenhas","ENG"
741,27,18,546,511,13,"2/39",39.3,5.61,42.0,0,0,1986,1999,"Minhajul Abedin","BDESH"
742,14,13,672,547,13,"4/33",42.07,4.88,51.6,1,0,1997,1998,"Mohammad Hussain","PAK"
743,9,9,403,210,13,"5/32",16.15,3.12,31.0,0,1,2019,2019,"SN Netravalkar","USA"
744,20,18,579,522,13,"2/25",40.15,5.4,44.5,0,0,1998,2001,"ASA Perera","SL"
745,13,10,456,409,13,"3/48",31.46,5.38,35.0,0,0,2007,2018,"MDK Perera","SL"
746,19,13,510,436,13,"3/54",33.53,5.12,39.2,0,0,2006,2009,"DJ Reekers","NL"
747,9,9,405,357,13,"3/40",27.46,5.28,31.1,0,0,2016,2018,"JB Reva","PNG"
748,17,17,764,559,13,"3/29",43.0,4.39,58.7,0,0,2014,2019,"Sharafuddin Ashraf","not found"
749,10,10,529,403,13,"3/43",31.0,4.57,40.6,0,0,2001,2002,"JN Snape","ENG"
750,6,6,301,247,13,"5/33",19.0,4.92,23.1,0,1,2018,2019,"Sompal Kami","NEPAL"
751,10,10,465,424,13,"3/19",32.61,5.47,35.7,0,0,2002,2004,"Tareq Aziz","BDESH"
752,10,10,421,305,13,"4/35",23.46,4.34,32.3,1,0,2003,2008,"S Thuraisingam","CAN"
753,26,21,819,701,13,"2/23",53.92,5.13,63.0,0,0,2006,2009,"JJ Tucker","BMUDA"
754,10,10,526,551,13,"2/21",42.38,6.28,40.4,0,0,2006,2007,"JJ van der Wath","SA"
755,26,22,1031,659,13,"3/33",50.69,3.83,79.3,0,0,1977,1986,"P Willey","ENG"
756,11,11,562,450,13,"3/39",34.61,4.8,43.2,0,0,1997,1998,"P Wilson","AUS"
757,85,30,739,656,12,"5/31",54.66,5.32,61.5,0,1,2004,2010,"Aftab Ahmed","BDESH"
758,12,11,471,408,12,"3/38",34.0,5.19,39.2,0,0,2011,2014,"Ahsan Malik","NL"
759,334,24,552,479,12,"3/19",39.91,5.2,46.0,0,0,1985,2000,"M Azharuddin","INDIA"
760,10,10,474,448,12,"4/57",37.33,5.67,39.5,1,0,2008,2011,"WD Balaji Rao","CAN"
761,15,15,722,518,12,"4/24",43.16,4.3,60.1,1,0,1999,1999,"HR Bryan","WI"
762,20,16,702,640,12,"3/57",53.33,5.47,58.5,0,0,1983,1995,"IP Butchart","ZIM"
763,188,30,509,434,12,"2/20",36.16,5.11,42.4,0,0,1992,2003,"ADR Campbell","ZIM"
764,13,13,612,485,12,"3/35",40.41,4.75,51.0,0,0,2010,2014,"PA Desai","CAN"
765,13,13,594,612,12,"2/44",51.0,6.18,49.5,0,0,2010,2013,"AB Dinda","INDIA"
766,9,8,400,343,12,"4/45",28.58,5.14,33.3,1,0,2006,2006,"H Durham","BMUDA"
767,15,13,480,425,12,"2/22",35.41,5.31,40.0,0,0,2012,2013,"AM Ellis","NZ"
768,14,14,696,510,12,"3/42",42.5,4.39,58.0,0,0,1984,1986,"RM Ellison","ENG"
769,7,7,351,337,12,"4/56",28.08,5.76,29.2,1,0,2014,2015,"AM Guruge","UAE"
770,42,26,765,737,12,"2/22",61.41,5.78,63.7,0,0,2016,2018,"TM Head","AUS"
771,14,12,558,468,12,"3/30",39.0,5.03,46.5,0,0,2002,2008,"PA Hitchcock","NZ"
772,8,7,402,203,12,"5/21",16.91,3.02,33.5,0,1,1975,1979,"AG Hurst","AUS"
773,15,14,664,500,12,"3/13",41.66,4.51,55.3,0,0,1977,1988,"Iqbal Qasim","PAK"
774,10,9,371,303,12,"2/23",25.25,4.9,30.9,0,0,1994,2000,"Kabir Khan","PAK"
775,14,13,636,548,12,"2/36",45.66,5.16,53.0,0,0,2006,2015,"TP Kamungozi","ZIM"
776,16,11,498,432,12,"4/32",36.0,5.2,41.5,1,0,2004,2015,"Khurram Khan","UAE"
777,10,10,513,448,12,"4/22",37.33,5.23,42.7,1,0,2013,2013,"RK Kleinveldt","SA"
778,16,16,817,604,12,"2/31",50.33,4.43,68.0,0,0,1988,1989,"CM Kuggeleijn","NZ"
779,15,15,642,467,12,"3/45",38.91,4.36,53.5,0,0,2010,2011,"GA Lamb","ZIM"
780,54,25,807,635,12,"2/22",52.91,4.72,67.2,0,0,1994,1999,"SG Law","AUS"
781,11,11,515,375,12,"3/19",31.25,4.36,42.9,0,0,1985,1985,"RJ McCurdy","AUS"
782,208,31,794,704,12,"2/21",58.66,5.31,66.1,0,0,1992,2006,"DR Martyn","AUS"
